recibo_id,zona_id,foto,hora,obra_id,usuario_id,camion_id,acarreo_id,cantidad,total_flete,recibo_id,estimacion,estimacion_id,concepto_flete,flete_id,banco_id,unidad,acarreos_mat_id,material_id,cantidad,total_material,concepto_material,recibo_id,estimacion,estimacion_id,banco_id,unidad
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,892,482,15,92.25,92,1152,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,902,482,13,79.95,92,1162,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,912,482,12,73.80,92,1172,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,922,482,12,73.80,92,1182,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,932,482,15,92.25,92,1192,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,942,482,13,79.95,92,1202,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,952,482,13,79.95,92,1212,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,962,482,15,92.25,92,1222,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,972,482,12,73.80,92,1232,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,982,482,12,73.80,92,1242,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,992,482,15,92.25,92,1252,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,1002,482,12,73.80,92,1262,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,1012,482,17,104.55,92,1272,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,1022,482,15,92.25,92,1282,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,1032,482,12,73.80,92,1292,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,1042,482,13,79.95,92,1302,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,1052,482,12,73.80,92,1312,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,1062,482,14,86.10,92,1322,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,1072,482,13,79.95,92,1332,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,1082,482,17,104.55,92,1342,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,1092,482,15,92.25,92,1352,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,1102,482,13,79.95,92,1362,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,1112,482,12,73.80,92,1372,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,1122,482,12,73.80,92,1382,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,1132,482,13,79.95,92,1392,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,1142,482,12,73.80,92,1402,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,1152,482,12,73.80,92,1412,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,1162,482,14,86.10,92,1422,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,1172,482,13,79.95,92,1432,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,1182,482,17,104.55,92,1442,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,1192,482,15,92.25,92,1452,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,1202,482,12,73.80,92,1462,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,1212,482,16,98.40,92,1472,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,1222,482,12,73.80,92,1482,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,1232,482,13,79.95,92,1492,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,1242,482,12,73.80,92,1502,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,1252,482,14,86.10,92,1512,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,1262,482,13,79.95,92,1522,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,1272,482,13,79.95,92,1532,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,1282,482,12,73.80,92,1542,Y,NULL,102,m3
